l,i,j,lc_value
5,6,2,0
5,6,3,0
5,6,4,0
5,6,5,0
5,7,0,0
5,7,1,0
5,7,2,0
5,7,3,0
5,7,4,0
5,7,5,1
5,8,0,0
5,8,1,0
5,8,2,0
5,8,3,0
5,8,4,0
5,8,5,0
5,9,0,0
5,9,1,0
5,9,2,0
5,9,3,0
5,9,4,0
5,9,5,0
5,10,0,0
5,10,1,0
5,10,2,0
5,10,3,0
5,10,4,0
5,10,5,0
5,11,0,0
5,11,1,0
5,11,2,0
5,11,3,0
5,11,4,0
5,11,5,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,0,5,0
6,1,0,0
6,1,1,0
6,1,2,0
6,1,3,0
6,1,4,0
6,1,5,0
6,2,0,0
6,2,1,0
6,2,2,0
6,2,3,0
6,2,4,0
6,2,5,0
6,3,0,1
6,3,1,0
6,3,2,0
6,3,3,0
6,3,4,0
6,3,5,0
6,4,0,0
6,4,1,0
6,4,2,0
6,4,3,0
6,4,4,0
6,4,5,0
6,5,0,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,5,5,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,6,5,0
6,7,0,1
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,7,5,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
6,8,5,0
6,9,0,0
6,9,1,0
6,9,2,0
6,9,3,0
6,9,4,0
6,9,5,0
6,10,0,0
6,10,1,0
6,10,2,0
6,10,3,0
6,10,4,0
6,10,5,0
6,11,0,0
6,11,1,0
6,11,2,0
6,11,3,0
6,11,4,0
6,11,5,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,0,5,0
7,1,0,0
7,1,1,0
7,1,2,0
7,1,3,0
7,1,4,0
7,1,5,0
7,2,0,1
7,2,1,0
7,2,2,0
7,2,3,0
7,2,4,0
7,2,5,0
7,3,0,0
7,3,1,0
7,3,2,0
7,3,3,0
7,3,4,0
7,3,5,0
7,4,0,0
7,4,1,0
7,4,2,0
7,4,3,0
7,4,4,0
7,4,5,0
7,5,0,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,5,5,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,6,5,0
7,7,0,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,7,5,0
7,8,0,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
7,8,5,0
7,9,0,0
7,9,1,0
7,9,2,0
7,9,3,1
7,9,4,0
7,9,5,0
7,10,0,0
7,10,1,0
7,10,2,0
7,10,3,0
7,10,4,0
7,10,5,0
7,11,0,0
7,11,1,0
7,11,2,0
7,11,3,0
7,11,4,0
7,11,5,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,0,5,0
8,1,0,0
8,1,1,0
8,1,2,0
8,1,3,0
8,1,4,0
8,1,5,0
8,2,0,1
8,2,1,0
8,2,2,0
8,2,3,0
8,2,4,0
8,2,5,0
8,3,0,0
8,3,1,0
8,3,2,0
8,3,3,0
8,3,4,0
8,3,5,0
8,4,0,0
8,4,1,0
8,4,2,0
8,4,3,0
8,4,4,0
8,4,5,0
8,5,0,0
8,5,1,0
8,5,2,0
8,5,3,1
8,5,4,0
8,5,5,0
8,6,0,0
8,6,1,0
8,6,2,0
8,6,3,0
8,6,4,0
8,6,5,0
8,7,0,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,7,5,0
8,8,0,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
8,8,5,0
8,9,0,0
8,9,1,0
8,9,2,0
8,9,3,0
8,9,4,0
8,9,5,0
8,10,0,0
8,10,1,0
8,10,2,0
8,10,3,0
8,10,4,0
8,10,5,0
8,11,0,0
8,11,1,0
8,11,2,0
8,11,3,0
8,11,4,0
8,11,5,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,1
9,0,4,0
9,0,5,0
9,1,0,0
9,1,1,0
9,1,2,0
9,1,3,0
9,1,4,0
9,1,5,0
9,2,0,0
9,2,1,0
9,2,2,0
9,2,3,0
9,2,4,0
9,2,5,0
9,3,0,0
9,3,1,0
9,3,2,0
9,3,3,0
9,3,4,0
9,3,5,0
9,4,0,1
9,4,1,0
9,4,2,0
9,4,3,0
9,4,4,0
9,4,5,0
9,5,0,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,5,5,0
9,6,0,0
9,6,1,0
9,6,2,0
9,6,3,0
9,6,4,0
9,6,5,0
9,7,0,1
9,7,1,0
9,7,2,0
9,7,3,0
9,7,4,0
9,7,5,0
9,8,0,0
9,8,1,0
9,8,2,0
9,8,3,0
9,8,4,0
9,8,5,0
9,9,0,0
9,9,1,0
9,9,2,0
9,9,3,0
9,9,4,0
9,9,5,0
9,10,0,0
9,10,1,0
9,10,2,0
9,10,3,0
9,10,4,0
9,10,5,0
9,11,0,0
9,11,1,0
9,11,2,0
9,11,3,0
9,11,4,0
9,11,5,0
10,0,0,0
10,0,1,0
10,0,2,0
10,0,3,0
10,0,4,0
10,0,5,0
10,1,0,0
10,1,1,0
10,1,2,0
10,1,3,0
10,1,4,0
10,1,5,0
10,2,0,0
10,2,1,0
10,2,2,1
10,2,3,0
10,2,4,0
10,2,5,0
10,3,0,0
10,3,1,0
10,3,2,0
10,3,3,0
10,3,4,0
10,3,5,0
10,4,0,0
10,4,1,0
10,4,2,0
10,4,3,0
10,4,4,0
10,4,5,0
10,5,0,0
10,5,1,0
10,5,2,0
10,5,3,0
10,5,4,0
10,5,5,0
10,6,0,0
10,6,1,0
10,6,2,0
10,6,3,0
10,6,4,0
10,6,5,0
10,7,0,0
10,7,1,0
10,7,2,0
10,7,3,1
10,7,4,0
10,7,5,0
10,8,0,0
10,8,1,0
10,8,2,0
10,8,3,0
10,8,4,0
10,8,5,0
10,9,0,0
10,9,1,0
10,9,2,0
10,9,3,0
10,9,4,0
10,9,5,0
10,10,0,0
10,10,1,0
10,10,2,0
10,10,3,0
10,10,4,0
10,10,5,0
10,11,0,0
10,11,1,0
10,11,2,0
10,11,3,0
10,11,4,0
10,11,5,0
11,0,0,0
11,0,1,0
11,0,2,0
11,0,3,0
11,0,4,0
11,0,5,0
11,1,0,0
11,1,1,0
11,1,2,0
11,1,3,0
11,1,4,0
11,1,5,0
11,2,0,1
11,2,1,0
11,2,2,0
11,2,3,0
11,2,4,0
11,2,5,0
11,3,0,0
11,3,1,0
11,3,2,0
11,3,3,0
11,3,4,0
11,3,5,0
11,4,0,0
11,4,1,0
11,4,2,0
11,4,3,0
11,4,4,0
11,4,5,0
11,5,0,1
11,5,1,0
11,5,2,0
11,5,3,0
11,5,4,0
11,5,5,0
11,6,0,0
11,6,1,0
11,6,2,0
11,6,3,0
11,6,4,0
11,6,5,0
11,7,0,0
11,7,1,0
11,7,2,0
11,7,3,0
11,7,4,0
11,7,5,0
11,8,0,0
11,8,1,0
11,8,2,0
11,8,3,0
11,8,4,0
11,8,5,0
11,9,0,0
11,9,1,0
11,9,2,0
11,9,3,0
11,9,4,0
11,9,5,0
11,10,0,0
11,10,1,0
11,10,2,0
11,10,3,0
11,10,4,0
11,10,5,0
11,11,0,0
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
12,0,0,0
12,0,1,0
12,0,2,0
12,0,3,0
12,0,4,0
12,0,5,0
12,1,0,0
12,1,1,0
12,1,2,0
12,1,3,0
12,1,4,0
12,1,5,0
12,2,0,0
12,2,1,0
12,2,2,0
12,2,3,0
12,2,4,0
12,2,5,0
12,3,0,0
12,3,1,0
12,3,2,0
12,3,3,0
12,3,4,0
12,3,5,0
12,4,0,0
12,4,1,0
12,4,2,0
12,4,3,0
12,4,4,0
12,4,5,0
12,5,0,0
12,5,1,0
12,5,2,0
12,5,3,0
12,5,4,0
12,5,5,0
12,6,0,0
12,6,1,0
12,6,2,0
12,6,3,0
12,6,4,0
12,6,5,0
12,7,0,0
12,7,1,0
12,7,2,0
12,7,3,0
12,7,4,0
12,7,5,0
12,8,0,0
12,8,1,0
12,8,2,0
12,8,3,0
12,8,4,0
12,8,5,0
12,9,0,0
12,9,1,0
12,9,2,0
12,9,3,0
12,9,4,0
12,9,5,0
12,10,0,0
12,10,1,0
12,10,2,0
12,10,3,0
12,10,4,0
12,10,5,0
12,11,0,0
12,11,1,0
12,11,2,0
12,11,3,0
12,11,4,0
12,11,5,0
13,0,0,0
13,0,1,0
13,0,2,0
13,0,3,0
13,0,4,0
13,0,5,0
13,1,0,0
13,1,1,0
13,1,2,0
13,1,3,0
13,1,4,1
13,1,5,0
13,2,0,0
13,2,1,0
13,2,2,0
13,2,3,0
13,2,4,0
13,2,5,0
13,3,0,0
13,3,1,0
13,3,2,0
13,3,3,0
13,3,4,0
13,3,5,0
13,4,0,0
13,4,1,0
13,4,2,0
13,4,3,0
13,4,4,0
13,4,5,0
13,5,0,1
13,5,1,0
13,5,2,0
13,5,3,0
13,5,4,0
13,5,5,0
13,6,0,0
13,6,1,0
13,6,2,0
13,6,3,0
13,6,4,0
13,6,5,0
13,7,0,0
13,7,1,0
13,7,2,0
13,7,3,0
13,7,4,0
13,7,5,0
13,8,0,0
13,8,1,0
13,8,2,0
13,8,3,0
13,8,4,0
13,8,5,0
13,9,0,0
13,9,1,0
13,9,2,0
13,9,3,1
13,9,4,0
13,9,5,0
13,10,0,0
13,10,1,0
13,10,2,0
13,10,3,0
13,10,4,0
13,10,5,0
13,11,0,0
13,11,1,0
13,11,2,0
13,11,3,0
13,11,4,0
13,11,5,0
14,0,0,0
14,0,1,0
14,0,2,0
14,0,3,0
14,0,4,1
14,0,5,0
14,1,0,0
14,1,1,0
14,1,2,0
14,1,3,0
14,1,4,0
14,1,5,0
14,2,0,0
14,2,1,0
14,2,2,0
14,2,3,0
14,2,4,0
14,2,5,0
14,3,0,0
14,3,1,0
14,3,2,0
14,3,3,0
14,3,4,0
14,3,5,0
14,4,0,0
14,4,1,0
14,4,2,0
14,4,3,0
14,4,4,0
14,4,5,0
14,5,0,0
14,5,1,0
14,5,2,0
14,5,3,0
14,5,4,0
14,5,5,1
14,6,0,0
14,6,1,0
14,6,2,0
14,6,3,0
14,6,4,0
14,6,5,0
14,7,0,0
14,7,1,0
14,7,2,0
14,7,3,0
14,7,4,0
14,7,5,0
14,8,0,0
14,8,1,0
14,8,2,0
14,8,3,0
14,8,4,0
14,8,5,0
14,9,0,0
14,9,1,0
14,9,2,0
14,9,3,0
14,9,4,0
14,9,5,0
14,10,0,0
14,10,1,0
14,10,2,0
14,10,3,0
14,10,4,0
14,10,5,0
14,11,0,0
14,11,1,0
14,11,2,0
14,11,3,0
14,11,4,0
14,11,5,0
15,0,0,0
15,0,1,0
15,0,2,0
15,0,3,0
15,0,4,0
15,0,5,0
15,1,0,0
15,1,1,0
15,1,2,0
15,1,3,1
15,1,4,0
15,1,5,0
15,2,0,0
15,2,1,0
15,2,2,0
15,2,3,0
15,2,4,0
15,2,5,0
15,3,0,0
15,3,1,0
15,3,2,0
15,3,3,0
15,3,4,0
15,3,5,0
15,4,0,0
15,4,1,0
15,4,2,0
15,4,3,0
15,4,4,0
15,4,5,0
15,5,0,0
15,5,1,0
15,5,2,0
15,5,3,0
15,5,4,0
15,5,5,0
15,6,0,0
15,6,1,0
15,6,2,0
15,6,3,1
15,6,4,0
15,6,5,0
15,7,0,0
15,7,1,0
15,7,2,0
15,7,3,0
15,7,4,0
15,7,5,0
15,8,0,0
15,8,1,0
15,8,2,0
15,8,3,0
15,8,4,0
15,8,5,0
15,9,0,0
15,9,1,0
15,9,2,0
15,9,3,0
15,9,4,0
15,9,5,0
15,10,0,0
15,10,1,0
15,10,2,0
15,10,3,0
15,10,4,0
15,10,5,0
15,11,0,0
15,11,1,0
15,11,2,0
15,11,3,0
15,11,4,0
15,11,5,0
16,0,0,0
16,0,1,0
16,0,2,0
16,0,3,0
16,0,4,0
16,0,5,0
16,1,0,0
16,1,1,0
16,1,2,0
16,1,3,0
16,1,4,0
16,1,5,0
16,2,0,0
16,2,1,1
16,2,2,0
16,2,3,0
16,2,4,0
16,2,5,0
16,3,0,0
16,3,1,0
16,3,2,0
16,3,3,0
16,3,4,0
16,3,5,0
16,4,0,0
16,4,1,0
16,4,2,0
16,4,3,0
16,4,4,0
16,4,5,0
16,5,0,0
16,5,1,0
16,5,2,0
16,5,3,0
16,5,4,0
16,5,5,0
16,6,0,0
16,6,1,0
16,6,2,0
16,6,3,0
16,6,4,0
16,6,5,0
16,7,0,0
16,7,1,0
16,7,2,0
16,7,3,0
16,7,4,0
16,7,5,0
16,8,0,0
16,8,1,0
16,8,2,0
16,8,3,1
16,8,4,0
16,8,5,0
16,9,0,0
16,9,1,0
16,9,2,0
16,9,3,0
16,9,4,0
16,9,5,0
16,10,0,0
16,10,1,0
16,10,2,0
16,10,3,0
16,10,4,0
16,10,5,0
16,11,0,0
16,11,1,0
16,11,2,0
16,11,3,0
16,11,4,0
16,11,5,0
17,0,0,0
17,0,1,0
17,0,2,0
17,0,3,0
17,0,4,0
17,0,5,0
17,1,0,0
17,1,1,0
17,1,2,0
17,1,3,0
17,1,4,0
17,1,5,0
17,2,0,0
17,2,1,0
17,2,2,0
17,2,3,0
17,2,4,0
17,2,5,1
17,3,0,0
17,3,1,0
17,3,2,0
17,3,3,0
17,3,4,0
17,3,5,0
17,4,0,0
17,4,1,0
17,4,2,0
17,4,3,0
17,4,4,0
17,4,5,0
17,5,0,0
17,5,1,0
17,5,2,0
17,5,3,0
17,5,4,0
17,5,5,0
17,6,0,0
17,6,1,0
17,6,2,0
17,6,3,0
17,6,4,0
17,6,5,0
17,7,0,0
17,7,1,0
17,7,2,0
17,7,3,0
17,7,4,0
17,7,5,0
17,8,0,0
17,8,1,0
17,8,2,0
17,8,3,0
17,8,4,0
17,8,5,0
17,9,0,0
17,9,1,0
17,9,2,0
17,9,3,0
17,9,4,0
17,9,5,0
17,10,0,0
17,10,1,0
17,10,2,0
17,10,3,0
17,10,4,0
17,10,5,0
17,11,0,0
17,11,1,0
17,11,2,0
17,11,3,0
17,11,4,0
17,11,5,0
18,0,0,0
18,0,1,0
18,0,2,0
18,0,3,1
18,0,4,0
18,0,5,0
18,1,0,0
18,1,1,0
18,1,2,0
18,1,3,0
18,1,4,0
18,1,5,0
18,2,0,0
18,2,1,0
18,2,2,0
18,2,3,0
18,2,4,0
18,2,5,0
18,3,0,0
18,3,1,0
18,3,2,0
18,3,3,0
18,3,4,0
18,3,5,0
18,4,0,0
18,4,1,0
18,4,2,0
18,4,3,0
18,4,4,0
18,4,5,0
18,5,0,0
18,5,1,0
18,5,2,0
18,5,3,0
18,5,4,0
18,5,5,0
18,6,0,0
18,6,1,0
18,6,2,0
18,6,3,0
18,6,4,0
18,6,5,0
18,7,0,0
18,7,1,0
18,7,2,0
18,7,3,0
18,7,4,0
18,7,5,0
18,8,0,0
18,8,1,0
18,8,2,0
18,8,3,0
18,8,4,0
18,8,5,0
18,9,0,0
18,9,1,0
18,9,2,0
18,9,3,0
18,9,4,0
18,9,5,0
18,10,0,0
18,10,1,0
18,10,2,0
18,10,3,0
18,10,4,0
18,10,5,0
18,11,0,0
18,11,1,0
18,11,2,0
18,11,3,0
18,11,4,0
18,11,5,0
19,0,0,0
19,0,1,0
19,0,2,0
19,0,3,0
19,0,4,0
19,0,5,0
19,1,0,0
19,1,1,0
19,1,2,0
19,1,3,1
19,1,4,0
19,1,5,0
19,2,0,0
19,2,1,0
19,2,2,0
19,2,3,0
19,2,4,0
19,2,5,0
19,3,0,0
19,3,1,0
19,3,2,0
19,3,3,0
19,3,4,0
19,3,5,0
19,4,0,0
19,4,1,0
19,4,2,0
19,4,3,0
19,4,4,0
19,4,5,0
19,5,0,0
19,5,1,0
19,5,2,0
19,5,3,0
19,5,4,0
19,5,5,0
19,6,0,0
19,6,1,0
19,6,2,0
19,6,3,0
19,6,4,0
19,6,5,0
19,7,0,0
19,7,1,0
19,7,2,0
19,7,3,0
19,7,4,0
19,7,5,0
19,8,0,0
19,8,1,0
19,8,2,0
19,8,3,0
19,8,4,0
19,8,5,0
19,9,0,0
19,9,1,0
19,9,2,0
19,9,3,0
19,9,4,0
19,9,5,0
19,10,0,0
19,10,1,0
19,10,2,0
19,10,3,0
19,10,4,0
19,10,5,0
19,11,0,0
19,11,1,0
19,11,2,0
19,11,3,0
19,11,4,0
19,11,5,0
20,0,0,0
20,0,1,0
20,0,2,0
20,0,3,0
20,0,4,1
20,0,5,0
20,1,0,0
20,1,1,0
20,1,2,0
20,1,3,0
20,1,4,0
20,1,5,0
20,2,0,0
20,2,1,0
20,2,2,0
20,2,3,0
20,2,4,0
20,2,5,0
20,3,0,1
20,3,1,0
20,3,2,0
20,3,3,0
20,3,4,0
20,3,5,0
20,4,0,0
20,4,1,0
20,4,2,0
20,4,3,0
20,4,4,0
20,4,5,0
20,5,0,0
20,5,1,0
20,5,2,0
20,5,3,0
20,5,4,0
20,5,5,0
20,6,0,0
20,6,1,0
20,6,2,0
20,6,3,0
20,6,4,0
20,6,5,0
20,7,0,0
20,7,1,0
20,7,2,0
20,7,3,0
20,7,4,0
20,7,5,0
20,8,0,0
20,8,1,0
20,8,2,0
20,8,3,0
20,8,4,0
20,8,5,0
20,9,0,0
20,9,1,0
20,9,2,0
20,9,3,0
20,9,4,0
20,9,5,0
20,10,0,0
20,10,1,0
20,10,2,0
20,10,3,0
20,10,4,0
20,10,5,0
20,11,0,0
20,11,1,0
20,11,2,0
20,11,3,0
20,11,4,0
20,11,5,0
21,0,0,0
21,0,1,0
21,0,2,0
21,0,3,0
21,0,4,0
21,0,5,0
21,1,0,0
21,1,1,0
21,1,2,0
21,1,3,0
21,1,4,0
21,1,5,1
21,2,0,0
21,2,1,0
21,2,2,0
21,2,3,0
21,2,4,0
21,2,5,0
21,3,0,0
21,3,1,0
21,3,2,0
21,3,3,0
21,3,4,0
21,3,5,0
21,4,0,0
21,4,1,0
21,4,2,0
21,4,3,0
21,4,4,0
21,4,5,1
21,5,0,0
21,5,1,0
21,5,2,0
21,5,3,0
21,5,4,0
21,5,5,0
21,6,0,0
21,6,1,0
21,6,2,0
21,6,3,0
21,6,4,0
21,6,5,0
21,7,0,0
21,7,1,0
21,7,2,0
21,7,3,0
21,7,4,0
21,7,5,0
21,8,0,0
21,8,1,0
21,8,2,0
21,8,3,0
21,8,4,0
21,8,5,1
21,9,0,0
21,9,1,0
21,9,2,0
21,9,3,0
21,9,4,0
21,9,5,0
21,10,0,0
21,10,1,0
21,10,2,0
21,10,3,0
21,10,4,0
21,10,5,0
21,11,0,0
21,11,1,0
21,11,2,0
21,11,3,0
21,11,4,0
21,11,5,0
22,0,0,0
22,0,1,0
22,0,2,0
22,0,3,0
22,0,4,0
22,0,5,0
22,1,0,0
22,1,1,0
22,1,2,0
22,1,3,0
22,1,4,0
22,1,5,0
22,2,0,0
22,2,1,0
22,2,2,0
22,2,3,0
22,2,4,0
22,2,5,0
22,3,0,0
22,3,1,0
22,3,2,0
22,3,3,0
22,3,4,0
22,3,5,0
22,4,0,0
22,4,1,0
22,4,2,0
22,4,3,0
22,4,4,0
22,4,5,0
22,5,0,0
22,5,1,0
22,5,2,0
22,5,3,0
22,5,4,0
22,5,5,0
22,6,0,1
22,6,1,0
22,6,2,0
22,6,3,0
22,6,4,0
22,6,5,0
22,7,0,0
22,7,1,0
22,7,2,0
22,7,3,0
22,7,4,0
22,7,5,0
22,8,0,0
22,8,1,0
22,8,2,0
22,8,3,0
22,8,4,0
22,8,5,0
22,9,0,0
22,9,1,0
22,9,2,0
22,9,3,1
22,9,4,0
22,9,5,0
22,10,0,0
22,10,1,0
22,10,2,0
22,10,3,0
22,10,4,0
22,10,5,0
22,11,0,0
22,11,1,0
22,11,2,0
22,11,3,0
22,11,4,0
22,11,5,0
23,0,0,0
23,0,1,0
23,0,2,0
23,0,3,0
23,0,4,0
23,0,5,0
23,1,0,0
23,1,1,0
23,1,2,0
23,1,3,0
23,1,4,0
23,1,5,0
23,2,0,0
23,2,1,0
23,2,2,0
23,2,3,0
23,2,4,0
23,2,5,0
23,3,0,0
23,3,1,0
23,3,2,1
23,3,3,0
23,3,4,0
23,3,5,0
23,4,0,0
23,4,1,0
23,4,2,0
23,4,3,0
23,4,4,0
23,4,5,0
23,5,0,0
23,5,1,0
23,5,2,0
23,5,3,0
23,5,4,0
23,5,5,0
23,6,0,0
23,6,1,0
23,6,2,0
23,6,3,0
23,6,4,0
23,6,5,0
23,7,0,0
23,7,1,0
23,7,2,0
23,7,3,0
23,7,4,0
23,7,5,0
23,8,0,0
23,8,1,0
23,8,2,0
23,8,3,1
23,8,4,0
23,8,5,0
23,9,0,0
23,9,1,0
23,9,2,0
23,9,3,0
23,9,4,0
23,9,5,0
23,10,0,0
23,10,1,0
23,10,2,0
23,10,3,0
23,10,4,0
23,10,5,0
23,11,0,0
23,11,1,0
23,11,2,0
23,11,3,0
23,11,4,0
23,11,5,0
24,0,0,0
24,0,1,0
24,0,2,0
24,0,3,0
24,0,4,0
24,0,5,0
24,1,0,0
24,1,1,0
24,1,2,0
24,1,3,0
24,1,4,0
24,1,5,0
24,2,0,0
24,2,1,0
24,2,2,0
24,2,3,0
24,2,4,0
24,2,5,0
24,3,0,0
