i,k,ap_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,1824600
2,3,0
2,4,0
3,0,0
3,1,540
3,2,1804800
3,3,0
3,4,0
4,0,0
4,1,480
4,2,1794600
4,3,0
4,4,0
5,0,4830
5,1,420
5,2,1740000
5,3,0
5,4,0
6,0,3220
6,1,420
6,2,1714800
6,3,0
6,4,0
7,0,1610
7,1,420
7,2,1689600
7,3,0
7,4,0
8,0,1610
8,1,420
8,2,1674600
8,3,0
8,4,0
9,0,1610
9,1,420
9,2,1659600
9,3,0
9,4,0
10,0,1610
10,1,420
10,2,1644600
10,3,0
10,4,0
11,0,1610
11,1,420
11,2,1639800
11,3,0
11,4,0
12,0,1610
12,1,420
12,2,1639800
12,3,0
12,4,0
13,0,1610
13,1,420
13,2,1639800
13,3,0
13,4,0
14,0,1610
14,1,420
14,2,1639800
14,3,0
14,4,0
15,0,1610
15,1,420
15,2,1639800
15,3,0
15,4,0
16,0,1610
16,1,420
16,2,1644600
16,3,0
16,4,0
17,0,1610
17,1,420
17,2,1659600
17,3,0
17,4,0
18,0,1610
18,1,420
18,2,1674600
18,3,0
18,4,0
19,0,1610
19,1,420
19,2,1689600
19,3,0
19,4,0
20,0,1610
20,1,420
20,2,1714800
20,3,0
20,4,0
21,0,1610
21,1,420
21,2,1755000
21,3,0
21,4,0
22,0,1610
22,1,420
22,2,1834800
22,3,0
22,4,0
23,0,1610
23,1,240
23,2,1989600
23,3,0
23,4,0
